2017/10/27 13:58:45 [emerg] 30413#30413: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 13:58:45 [emerg] 30413#30413: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 13:58:45 [emerg] 30413#30413: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 13:58:45 [emerg] 30413#30413: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 13:58:45 [emerg] 30413#30413: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 13:58:45 [emerg] 30413#30413: still could not bind()
2017/10/27 13:58:56 [error] 30402#30402: *7 open() "/usr/local/openresty/nginx/html/vie" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /vie HTTP/1.1", host: "localhost:8010"
2017/10/27 13:58:59 [error] 30402#30402: *7 open() "/usr/local/openresty/nginx/html/home/majid/Code/hwapp/assets/single-page-app.html" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /view/ HTTP/1.1", host: "localhost:8010"
2017/10/27 14:04:26 [emerg] 30998#30998: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:26 [emerg] 30998#30998: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:26 [emerg] 30998#30998: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:26 [emerg] 30998#30998: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:50 [emerg] 31023#31023: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:50 [emerg] 31023#31023: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:50 [emerg] 31023#31023: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:50 [emerg] 31023#31023: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:50 [emerg] 31023#31023: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:04:50 [emerg] 31023#31023: still could not bind()
2017/10/27 14:04:53 [error] 31018#31018: *1 open() "/home/majid/Code/hwapp/assets/single-page-app.html" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /view/ HTTP/1.1", host: "localhost:8010"
2017/10/27 14:04:54 [error] 31018#31018: *1 open() "/home/majid/Code/hwapp/assets/single-page-app.html" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /view/ HTTP/1.1", host: "localhost:8010"
2017/10/27 14:05:20 [error] 31018#31018: *2 directory index of "/" is forbidden, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:8010"
2017/10/27 14:05:21 [error] 31018#31018: *3 directory index of "/" is forbidden, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:8010"
2017/10/27 14:05:27 [error] 31018#31018: *3 directory index of "/" is forbidden, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:8010"
2017/10/27 14:05:27 [error] 31018#31018: *3 directory index of "/" is forbidden, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", host: "localhost:8010"
2017/10/27 14:05:38 [error] 31018#31018: *3 directory index of "/var/" is forbidden, client: 127.0.0.1, server: , request: "GET /var/ HTTP/1.1", host: "localhost:8010"
2017/10/27 14:07:35 [emerg] 31439#31439: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:07:39 [error] 31441#31441: *1 open() "/usr/local/openresty/nginx/html/var/www/1.txt" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /var/www/1.txt HTTP/1.1", host: "localhost:8010"
2017/10/27 14:07:39 [error] 31441#31441: *1 open() "/usr/local/openresty/nginx/html/var/www/1.txt" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /var/www/1.txt HTTP/1.1", host: "localhost:8010"
2017/10/27 14:07:48 [error] 31441#31441: *1 open() "/usr/local/openresty/nginx/html/home/majid/Code/hwapp/assets/single-page-app.html" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /view/dd HTTP/1.1", host: "localhost:8010"
2017/10/27 14:10:08 [emerg] 31669#31669: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:10:12 [emerg] 31681#31681: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:11:14 [emerg] 31768#31768: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:11:57 [emerg] 31963#31963: bind() to 0.0.0.0:8010 failed (98: Address already in use)
2017/10/27 14:12:59 [error] 32047#32047: *1 open() "/home/majid/Code/hwapp/assets/1.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/1.js HTTP/1.1", host: "localhost:8010"
2017/10/27 14:14:10 [error] 32047#32047: *1 open() "/home/majid/Code/hwapp/assets/1.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/1.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 14:14:18 [error] 32047#32047: *1 open() "/home/majid/Code/hwapp/assets/1.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/1.js HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *6 open() "/home/majid/Code/hwapp/assets/bundle/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/style.css?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *7 open() "/home/majid/Code/hwapp/assets/bundle/vendors.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/vendors.js?v=$sizeOfVendors HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *6 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *7 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *6 open() "/home/majid/Code/hwapp/assets/bundle/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/style.css?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *7 open() "/home/majid/Code/hwapp/assets/bundle/vendors.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/vendors.js?v=$sizeOfVendors HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *6 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *6 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:44 [error] 32047#32047: *6 open() "/usr/local/openresty/nginx/html/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:8010"
2017/10/27 19:27:45 [error] 32047#32047: *8 open() "/home/majid/Code/hwapp/assets/bundle/style.css" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/style.css?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:45 [error] 32047#32047: *8 open() "/home/majid/Code/hwapp/assets/bundle/vendors.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/vendors.js?v=$sizeOfVendors HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:45 [error] 32047#32047: *8 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:45 [error] 32047#32047: *8 open() "/home/majid/Code/hwapp/assets/bundle/app.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/app.js?v=$sizeOfApp HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
2017/10/27 19:27:45 [error] 32047#32047: *8 open() "/home/majid/Code/hwapp/assets/bundle/core.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /assets/bundle/core.js?v=$sizeOfCore HTTP/1.1", host: "localhost:8010", referrer: "http://localhost:8010/view/auth"
